Flight_ID,Date_ID,Airline_ID,Route_ID,Scheduled_Departure_Time,Actual_Departure_Time,Scheduled_Arrival_Time,Actual_Arrival_Time,Delay_Minutes,Weather_Delay_Minutes,Air_Traffic_Delay_Minutes,Carrier_Delay_Minutes,Security_Delay_Minutes,Flight_Status,Passenger_Count
FL0650,289,3,196,2024-06-16 07:35,2024-06-16 08:23,2024-06-16 09:35,2024-06-16 09:53,18,14,3,0,1,Delayed,205
FL0493,70,1,492,2024-06-07 15:39,2024-06-07 15:39,2024-06-07 16:39,2024-06-07 16:39,0,0,0,0,0,On-time,149
FL0739,70,1,736,2024-06-07 14:39,2024-06-07 15:04,2024-06-07 19:39,2024-06-07 20:00,21,20,0,1,0,Delayed,233
FL0077,71,1,77,2024-09-10 03:17,2024-09-10 03:17,2024-09-10 07:17,2024-09-10 07:17,0,0,0,0,0,On-time,296
FL0084,71,1,84,2024-09-10 13:16,2024-09-10 13:16,2024-09-10 19:16,2024-09-10 19:16,0,0,0,0,0,On-time,74
FL0831,71,1,827,2024-09-10 08:54,2024-09-10 08:54,2024-09-10 10:54,2024-09-10 10:54,0,0,0,0,0,On-time,159
FL0886,71,1,882,2024-09-09 15:14,2024-09-09 16:18,2024-09-09 16:14,2024-09-09 16:21,7,3,3,1,0,Delayed,69
FL0441,72,1,440,2024-03-07 00:01,2024-03-07 00:30,2024-03-07 03:01,2024-03-07 03:01,0,0,0,0,0,On-time,77
FL0416,73,1,416,2024-12-24 22:00,2024-12-24 23:56,2024-12-25 04:00,2024-12-25 05:14,74,8,32,28,6,Delayed,204
FL0269,74,1,269,2024-03-29 18:04,2024-03-29 18:04,2024-03-29 21:04,2024-03-29 21:04,0,0,0,0,0,On-time,203
FL0890,74,1,886,2024-03-30 18:37,2024-03-30 18:37,2024-03-30 23:37,2024-03-31 00:18,41,4,36,1,0,Delayed,296
FL0378,75,1,378,2024-11-07 23:59,2024-11-08 01:56,2024-11-08 03:59,2024-11-08 03:59,0,0,0,0,0,On-time,176
FL0953,75,1,949,2024-11-07 10:31,2024-11-07 10:48,2024-11-07 12:31,2024-11-07 12:52,21,19,1,0,1,Delayed,276
FL0342,76,1,342,2024-07-04 07:11,2024-07-04 07:11,2024-07-04 08:11,2024-07-04 08:11,0,0,0,0,0,On-time,177
FL0423,76,1,423,2024-07-03 18:12,2024-07-03 18:12,2024-07-04 00:12,2024-07-04 01:44,92,2,66,0,24,Delayed,139
FL0083,77,1,83,2024-11-25 12:27,2024-11-25 12:27,2024-11-25 15:27,2024-11-25 15:55,28,9,5,6,8,Delayed,218
FL0817,77,1,813,2024-11-24 20:09,2024-11-24 20:51,2024-11-24 23:09,2024-11-24 23:20,11,7,1,1,2,Delayed,181
FL0086,79,1,86,2024-12-22 01:26,2024-12-22 01:31,2024-12-22 03:26,2024-12-22 04:50,84,38,14,20,12,Delayed,117
FL0976,79,1,972,2024-12-21 09:13,2024-12-21 09:13,2024-12-21 14:13,2024-12-21 15:25,72,71,0,1,0,Delayed,79
FL0375,82,1,375,2024-03-08 19:09,2024-03-08 20:09,2024-03-08 21:09,2024-03-08 21:22,13,12,0,1,0,Delayed,161
FL0495,84,1,494,2024-05-13 00:39,2024-05-13 01:46,2024-05-13 02:39,2024-05-13 02:39,0,0,0,0,0,On-time,56
FL0260,85,1,260,2024-05-23 08:33,2024-05-23 09:51,2024-05-23 10:33,2024-05-23 10:33,0,0,0,0,0,On-time,88
FL0335,85,1,335,2024-05-23 06:48,2024-05-23 08:24,2024-05-23 08:48,2024-05-23 08:48,0,0,0,0,0,On-time,226
FL0803,85,1,799,2024-05-24 09:38,2024-05-24 09:38,2024-05-24 10:38,2024-05-24 10:38,0,0,0,0,0,On-time,207
FL0093,86,1,93,2024-09-24 07:09,2024-09-24 08:46,2024-09-24 10:09,2024-09-24 10:09,0,0,0,0,0,On-time,156
FL0609,86,1,607,2024-09-24 02:20,2024-09-24 02:20,2024-09-24 06:20,2024-09-24 07:07,47,15,12,9,11,Delayed,228
FL0094,87,1,94,2024-08-21 08:08,2024-08-21 08:08,2024-08-21 10:08,2024-08-21 10:08,0,0,0,0,0,On-time,157
FL0564,90,1,562,2024-06-13 11:21,2024-06-13 11:58,2024-06-13 17:21,2024-06-13 19:21,120,24,68,20,8,Delayed,269
FL0334,91,1,334,2024-11-17 08:40,2024-11-17 08:40,2024-11-17 11:40,2024-11-17 13:18,98,32,34,20,12,Delayed,50
FL0101,93,1,101,2024-08-28 17:53,2024-08-28 18:12,2024-08-28 19:53,2024-08-28 19:53,0,0,0,0,0,On-time,100
FL0645,94,1,643,2024-01-03 17:50,2024-01-03 19:45,2024-01-03 18:50,2024-01-03 20:42,112,13,15,22,62,Delayed,140
FL0784,262,2,643,2024-07-23 10:09,2024-07-23 10:30,2024-07-23 11:09,2024-07-23 11:09,0,0,0,0,0,On-time,223
FL0107,96,1,107,2024-04-27 12:10,2024-04-27 12:55,2024-04-27 13:10,2024-04-27 13:50,40,36,1,1,2,Delayed,276
FL0824,98,1,820,2024-08-03 21:30,2024-08-03 21:38,2024-08-03 22:30,2024-08-04 00:26,116,73,30,2,11,Delayed,114
FL0332,100,1,332,2024-12-05 04:50,2024-12-05 04:50,2024-12-05 10:50,2024-12-05 10:50,0,0,0,0,0,On-time,118
FL0112,101,1,112,2024-09-30 20:04,2024-09-30 21:48,2024-09-30 21:04,2024-09-30 21:25,21,20,0,1,0,Delayed,164
FL0274,101,1,274,2024-09-30 16:51,2024-09-30 17:50,2024-09-30 21:51,2024-09-30 21:51,0,0,0,0,0,On-time,57
FL0284,101,1,284,2024-09-30 17:54,2024-09-30 17:54,2024-09-30 23:54,2024-09-30 23:54,0,0,0,0,0,On-time,173
FL0865,101,1,861,2024-09-30 19:51,2024-09-30 20:28,2024-09-30 21:51,2024-09-30 21:51,0,0,0,0,0,On-time,191
FL0123,106,1,123,2024-07-30 10:12,2024-07-30 11:53,2024-07-30 16:12,2024-07-30 17:12,60,24,36,0,0,Delayed,166
FL0318,106,1,318,2024-07-30 13:21,2024-07-30 14:41,2024-07-30 14:21,2024-07-30 14:58,37,35,0,0,2,Delayed,53
FL0626,106,1,624,2024-07-30 11:22,2024-07-30 11:22,2024-07-30 12:22,2024-07-30 13:11,49,44,5,0,0,Delayed,109
FL0942,106,1,938,2024-07-29 13:18,2024-07-29 13:18,2024-07-29 15:18,2024-07-29 15:18,0,0,0,0,0,On-time,206
FL0142,107,1,142,2024-02-17 12:24,2024-02-17 12:24,2024-02-17 17:24,2024-02-17 18:02,38,5,14,11,8,Delayed,250
FL0816,107,1,812,2024-02-17 01:03,2024-02-17 02:37,2024-02-17 07:03,2024-02-17 07:59,56,37,10,8,1,Delayed,195
FL0163,109,1,163,2024-05-18 07:27,2024-05-18 07:27,2024-05-18 10:27,2024-05-18 11:12,45,44,0,1,0,Delayed,196
FL0275,111,1,275,2024-05-03 14:01,2024-05-03 15:23,2024-05-03 18:01,2024-05-03 18:55,54,26,19,0,9,Delayed,153
FL0691,111,1,688,2024-05-03 23:45,2024-05-03 23:45,2024-05-04 03:45,2024-05-04 03:45,0,0,0,0,0,On-time,139
FL0174,113,1,174,2024-12-08 18:51,2024-12-08 18:51,2024-12-08 21:51,2024-12-08 21:51,0,0,0,0,0,On-time,94
FL0137,117,1,137,2024-01-08 02:08,2024-01-08 02:08,2024-01-08 03:08,2024-01-08 04:45,97,2,80,11,4,Delayed,243
FL0138,118,1,138,2024-02-04 19:57,2024-02-04 21:48,2024-02-04 23:57,2024-02-05 00:05,8,7,1,0,0,Delayed,244
FL0141,120,1,141,2024-01-17 11:21,2024-01-17 11:52,2024-01-17 14:21,2024-01-17 14:34,13,5,4,1,3,Delayed,286
FL0835,120,1,831,2024-01-16 22:48,2024-01-17 00:10,2024-01-17 00:48,2024-01-17 01:37,49,25,18,1,5,Delayed,93
FL0561,121,1,559,2024-11-04 11:15,2024-11-04 11:15,2024-11-04 17:15,2024-11-04 17:15,0,0,0,0,0,On-time,259
FL0144,122,1,144,2024-01-23 15:49,2024-01-23 17:19,2024-01-23 21:49,2024-01-23 21:49,0,0,0,0,0,On-time,232
FL0348,122,1,348,2024-01-23 02:32,2024-01-23 04:10,2024-01-23 04:32,2024-01-23 04:32,0,0,0,0,0,On-time,144
FL0145,123,1,145,2024-08-01 23:56,2024-08-02 01:17,2024-08-02 03:56,2024-08-02 04:42,46,30,14,1,1,Delayed,276
FL0426,124,1,426,2024-11-01 19:43,2024-11-01 19:43,2024-11-01 21:43,2024-11-01 21:43,0,0,0,0,0,On-time,118
FL0147,125,1,147,2024-10-25 23:44,2024-10-25 23:44,2024-10-26 01:44,2024-10-26 03:43,119,93,12,13,1,Delayed,115
FL0246,127,1,246,2024-12-19 12:36,2024-12-19 12:36,2024-12-19 14:36,2024-12-19 14:36,0,0,0,0,0,On-time,107
FL0158,132,1,158,2024-04-30 12:37,2024-04-30 12:37,2024-04-30 18:37,2024-04-30 20:18,101,22,9,30,40,Delayed,200
FL0906,134,1,902,2024-09-21 00:08,2024-09-21 00:08,2024-09-21 01:08,2024-09-21 01:08,0,0,0,0,0,On-time,107
FL0164,135,1,164,2024-11-30 00:24,2024-11-30 00:24,2024-11-30 02:24,2024-11-30 02:24,0,0,0,0,0,On-time,289
FL0382,135,1,382,2024-11-29 11:21,2024-11-29 12:53,2024-11-29 15:21,2024-11-29 15:21,0,0,0,0,0,On-time,276
FL0647,136,1,645,2024-07-14 02:05,2024-07-14 02:13,2024-07-14 04:05,2024-07-14 04:30,25,13,4,5,3,Delayed,177
FL0168,137,1,168,2024-10-28 22:56,2024-10-29 00:34,2024-10-29 03:56,2024-10-29 03:56,0,0,0,0,0,On-time,160
FL0836,137,1,832,2024-10-28 15:01,2024-10-28 15:54,2024-10-28 21:01,2024-10-28 21:40,39,5,28,0,6,Delayed,267
FL0171,139,1,171,2024-02-01 17:48,2024-02-01 18:33,2024-02-01 23:48,2024-02-02 00:05,17,0,15,0,2,Delayed,157
FL0176,142,1,176,2024-01-09 00:08,2024-01-09 00:08,2024-01-09 04:08,2024-01-09 05:11,63,25,27,3,8,Delayed,92
FL0177,143,1,177,2024-09-15 02:46,2024-09-15 02:46,2024-09-15 07:46,2024-09-15 08:41,55,28,16,3,8,Delayed,178
FL0818,143,1,814,2024-09-14 22:47,2024-09-14 22:47,2024-09-15 04:47,2024-09-15 06:27,100,30,37,20,13,Delayed,74
FL0978,143,1,974,2024-09-15 07:11,2024-09-15 08:23,2024-09-15 12:11,2024-09-15 13:36,85,44,12,17,12,Delayed,244
FL0180,144,1,180,2024-04-24 21:18,2024-04-24 21:18,2024-04-25 00:18,2024-04-25 00:18,0,0,0,0,0,On-time,160
FL0527,145,1,526,2024-07-06 11:28,2024-07-06 11:28,2024-07-06 15:28,2024-07-06 15:28,0,0,0,0,0,On-time,184
FL0913,146,1,909,2024-03-14 18:17,2024-03-14 20:00,2024-03-15 00:17,2024-03-15 00:17,0,0,0,0,0,On-time,277
FL0554,147,1,553,2024-09-26 14:14,2024-09-26 14:14,2024-09-26 17:14,2024-09-26 18:33,79,3,76,0,0,Delayed,84
FL0189,149,1,189,2024-04-09 22:39,2024-04-09 23:34,2024-04-10 04:39,2024-04-10 05:28,49,28,14,0,7,Delayed,158
FL0795,149,1,791,2024-04-10 00:41,2024-04-10 02:23,2024-04-10 05:41,2024-04-10 05:41,0,0,0,0,0,On-time,102
FL0706,151,1,703,2024-04-13 15:48,2024-04-13 15:48,2024-04-13 17:48,2024-04-13 19:34,106,73,5,8,20,Delayed,259
FL0197,153,1,197,2024-04-02 08:49,2024-04-02 08:49,2024-04-02 12:49,2024-04-02 14:21,92,20,8,28,36,Delayed,223
FL0432,153,1,431,2024-04-02 10:21,2024-04-02 11:08,2024-04-02 12:21,2024-04-02 13:07,46,39,0,1,6,Delayed,259
FL0403,154,1,403,2024-06-21 20:04,2024-06-21 20:04,2024-06-21 22:04,2024-06-21 22:04,0,0,0,0,0,On-time,85
FL0199,155,1,199,2024-05-25 12:39,2024-05-25 14:25,2024-05-25 13:39,2024-05-25 13:39,0,0,0,0,0,On-time,71
FL0207,161,1,207,2024-12-08 04:23,2024-12-08 05:51,2024-12-08 07:23,2024-12-08 09:10,107,48,10,6,43,Delayed,274
FL0728,162,1,725,2024-08-23 06:27,2024-08-23 08:27,2024-08-23 07:27,2024-08-23 08:12,45,29,3,4,9,Delayed,156
FL0210,164,1,210,2024-04-16 15:43,2024-04-16 16:57,2024-04-16 19:43,2024-04-16 19:43,0,0,0,0,0,On-time,154
FL0242,164,1,242,2024-04-16 06:29,2024-04-16 06:29,2024-04-16 09:29,2024-04-16 11:25,116,68,14,2,32,Delayed,128
FL0931,166,1,927,2024-07-26 05:44,2024-07-26 05:44,2024-07-26 06:44,2024-07-26 06:44,0,0,0,0,0,On-time,109
FL0477,169,1,476,2024-06-22 21:54,2024-06-22 21:54,2024-06-23 01:54,2024-06-23 03:06,72,60,5,4,3,Delayed,158
FL0222,172,1,222,2024-03-29 04:39,2024-03-29 04:39,2024-03-29 10:39,2024-03-29 11:42,63,19,27,0,17,Delayed,244
FL0327,172,1,327,2024-03-29 17:02,2024-03-29 17:50,2024-03-29 20:02,2024-03-29 21:40,98,81,5,4,8,Delayed,98
FL0297,179,1,297,2024-12-18 13:25,2024-12-18 13:25,2024-12-18 15:25,2024-12-18 15:25,0,0,0,0,0,On-time,168
FL0232,180,1,232,2024-07-04 17:37,2024-07-04 17:44,2024-07-04 18:37,2024-07-04 19:31,54,29,21,1,3,Delayed,73
FL0238,183,1,238,2024-08-09 21:07,2024-08-09 22:43,2024-08-09 23:07,2024-08-09 23:07,0,0,0,0,0,On-time,120
FL0656,183,1,653,2024-08-09 19:34,2024-08-09 19:46,2024-08-09 22:34,2024-08-09 22:34,0,0,0,0,0,On-time,252
FL0872,184,1,868,2024-01-07 00:23,2024-01-07 02:12,2024-01-07 04:23,2024-01-07 05:36,73,45,19,5,4,Delayed,254
FL0571,186,1,569,2024-08-24 06:43,2024-08-24 06:58,2024-08-24 11:43,2024-08-24 11:57,14,2,5,6,1,Delayed,188
FL0245,187,1,245,2024-01-25 06:00,2024-01-25 06:00,2024-01-25 11:00,2024-01-25 12:30,90,44,26,12,8,Delayed,153
FL0280,188,1,280,2024-06-25 10:25,2024-06-25 11:12,2024-06-25 13:25,2024-06-25 13:25,0,0,0,0,0,On-time,290
FL0694,188,1,691,2024-06-24 16:12,2024-06-24 18:07,2024-06-24 21:12,2024-06-24 21:12,0,0,0,0,0,On-time,143
FL0807,188,1,803,2024-06-24 15:34,2024-06-24 15:34,2024-06-24 19:34,2024-06-24 20:33,59,33,7,18,1,Delayed,248
FL0849,189,1,845,2024-10-04 09:58,2024-10-04 09:58,2024-10-04 10:58,2024-10-04 11:44,46,1,45,0,0,Delayed,257
FL0250,190,1,250,2024-05-02 12:42,2024-05-02 12:42,2024-05-02 18:42,2024-05-02 18:42,0,0,0,0,0,On-time,247
FL0854,191,1,850,2024-07-20 21:51,2024-07-20 22:30,2024-07-21 00:51,2024-07-21 02:29,98,27,14,30,27,Delayed,258
FL0660,192,1,657,2024-12-27 04:50,2024-12-27 05:17,2024-12-27 09:50,2024-12-27 10:54,64,58,4,0,2,Delayed,115
FL0256,194,1,256,2024-12-10 08:07,2024-12-10 08:07,2024-12-10 10:07,2024-12-10 11:59,112,43,1,9,59,Delayed,162
FL0999,196,1,995,2024-11-27 08:16,2024-11-27 08:59,2024-11-27 11:16,2024-11-27 12:58,102,73,26,1,2,Delayed,191
FL0277,197,1,277,2024-05-13 19:41,2024-05-13 19:41,2024-05-13 22:41,2024-05-13 22:41,0,0,0,0,0,On-time,242
FL0879,200,1,875,2024-10-02 12:53,2024-10-02 13:00,2024-10-02 16:53,2024-10-02 18:10,77,10,13,50,4,Delayed,121
FL0532,206,1,531,2024-11-10 05:57,2024-11-10 05:57,2024-11-10 11:57,2024-11-10 11:57,0,0,0,0,0,On-time,244
FL0300,209,1,300,2024-10-14 18:23,2024-10-14 19:34,2024-10-14 23:23,2024-10-14 23:46,23,17,6,0,0,Delayed,54
FL0325,209,1,325,2024-10-15 09:47,2024-10-15 09:47,2024-10-15 15:47,2024-10-15 15:47,0,0,0,0,0,On-time,90
FL0881,209,1,877,2024-10-15 06:49,2024-10-15 06:49,2024-10-15 09:49,2024-10-15 09:49,0,0,0,0,0,On-time,281
FL0893,210,1,889,2024-04-02 17:40,2024-04-02 17:40,2024-04-02 20:40,2024-04-02 20:40,0,0,0,0,0,On-time,270
FL0302,211,1,302,2024-05-09 04:17,2024-05-09 04:17,2024-05-09 05:17,2024-05-09 06:02,45,5,23,12,5,Delayed,193
FL0792,213,1,788,2024-09-04 10:59,2024-09-04 10:59,2024-09-04 15:59,2024-09-04 16:35,36,13,15,8,0,Delayed,119
FL0779,215,1,776,2024-02-01 13:07,2024-02-01 13:07,2024-02-01 14:07,2024-02-01 14:28,21,10,10,0,1,Delayed,288
FL0496,216,1,495,2024-11-05 02:38,2024-11-05 03:22,2024-11-05 06:38,2024-11-05 06:38,0,0,0,0,0,On-time,56
FL0315,217,1,315,2024-03-05 16:00,2024-03-05 17:57,2024-03-05 21:00,2024-03-05 21:00,0,0,0,0,0,On-time,133
FL0990,220,1,986,2024-11-11 20:47,2024-11-11 22:07,2024-11-12 01:47,2024-11-12 03:14,87,69,0,9,9,Delayed,244
FL0778,221,1,775,2024-09-24 22:53,2024-09-24 23:12,2024-09-25 01:53,2024-09-25 01:53,0,0,0,0,0,On-time,83
FL0356,225,1,356,2024-07-20 05:12,2024-07-20 05:12,2024-07-20 09:12,2024-07-20 09:18,6,5,0,0,1,Delayed,216
FL0859,225,1,855,2024-07-20 00:38,2024-07-20 01:24,2024-07-20 04:38,2024-07-20 04:38,0,0,0,0,0,On-time,140
FL0974,225,1,970,2024-07-20 05:12,2024-07-20 05:12,2024-07-20 09:12,2024-07-20 09:12,0,0,0,0,0,On-time,114
FL0811,228,1,807,2024-05-24 21:43,2024-05-24 21:56,2024-05-25 00:43,2024-05-25 00:43,0,0,0,0,0,On-time,211
FL0372,229,1,372,2024-12-17 18:52,2024-12-17 19:16,2024-12-17 19:52,2024-12-17 21:47,115,34,59,2,20,Delayed,166
FL0637,229,1,635,2024-12-17 07:57,2024-12-17 08:54,2024-12-17 08:57,2024-12-17 08:57,0,0,0,0,0,On-time,161
FL0374,230,1,374,2024-03-08 13:57,2024-03-08 13:57,2024-03-08 15:57,2024-03-08 15:57,0,0,0,0,0,On-time,259
FL0379,231,1,379,2024-09-21 22:04,2024-09-21 23:20,2024-09-22 00:04,2024-09-22 00:04,0,0,0,0,0,On-time,134
FL0888,235,1,884,2024-11-21 00:19,2024-11-21 01:27,2024-11-21 03:19,2024-11-21 03:19,0,0,0,0,0,On-time,66
FL0914,235,1,910,2024-11-21 17:59,2024-11-21 17:59,2024-11-21 22:59,2024-11-21 22:59,0,0,0,0,0,On-time,187
FL0415,237,1,415,2024-12-18 11:27,2024-12-18 13:18,2024-12-18 15:27,2024-12-18 16:10,43,35,7,0,1,Delayed,54
FL0418,238,1,418,2024-07-30 07:57,2024-07-30 07:57,2024-07-30 11:57,2024-07-30 13:13,76,26,9,15,26,Delayed,136
FL0427,239,1,162,2024-08-14 02:50,2024-08-14 04:08,2024-08-14 05:50,2024-08-14 05:50,0,0,0,0,0,On-time,108
FL0162,134,4,162,2024-09-20 11:04,2024-09-20 11:48,2024-09-20 15:04,2024-09-20 15:28,24,17,1,1,5,Delayed,233
